ID;contestID;outcome
lizard048;1;1
lizard060;2;1
lizard023;3;1
lizard030;4;1
lizard083;5;1
lizard082;6;1
lizard003;7;1
lizard179;8;1
lizard053;9;1
lizard047;10;1
lizard040;11;1
lizard064;12;1
lizard020;13;1
lizard083;14;1
lizard176;15;1
lizard177;16;1
lizard005;17;1
lizard010;18;1
lizard033;19;1
lizard065;20;1
lizard073;21;1
lizard052;22;1
lizard073;23;1
lizard025;24;1
lizard033;25;1
lizard073;26;1
lizard023;27;1
lizard040;28;1
lizard177;29;1
lizard058;30;1
lizard096;31;1
lizard052;32;1
lizard040;33;1
lizard099;34;1
lizard177;35;1
lizard003;36;1
lizard170;37;1
lizard005;38;1
lizard028;39;1
lizard023;40;1
lizard005;41;1
lizard031;42;1
lizard048;43;1
lizard071;44;1
lizard073;45;1
lizard096;46;1
lizard102;47;1
lizard009;48;1
lizard167;49;1
lizard023;50;1
lizard099;51;1
lizard170;52;1
lizard038;53;1
lizard176;54;1
lizard045;55;1
lizard048;56;1
lizard096;57;1
lizard102;58;1
lizard045;59;1
lizard064;60;1
lizard099;61;1
lizard005;62;1
lizard073;63;1
lizard010;64;1
lizard013;65;1
lizard074;66;1
lizard073;67;1
lizard086;68;1
lizard174;69;1
lizard073;70;1
lizard074;71;1
lizard016;72;1
lizard099;73;1
lizard016;74;1
lizard177;75;1
lizard170;76;1
lizard016;77;1
lizard040;78;1
lizard064;79;1
lizard038;80;1
lizard176;81;1
lizard070;82;1
lizard016;83;1
lizard040;84;1
lizard083;85;1
lizard170;86;1
lizard070;87;1
lizard016;88;1
lizard176;89;1
lizard038;90;1
lizard066;91;1
lizard170;92;1
lizard003;93;1
lizard040;94;1
lizard177;95;1
lizard177;96;1
lizard045;97;1
lizard099;98;1
lizard040;99;1
lizard052;100;1
lizard006;1;0
lizard011;2;0
lizard012;3;0
lizard012;4;0
lizard012;5;0
lizard013;6;0
lizard018;7;0
lizard018;8;0
lizard024;9;0
lizard026;10;0
lizard028;11;0
lizard028;12;0
lizard029;13;0
lizard029;14;0
lizard029;15;0
lizard029;16;0
lizard031;17;0
lizard031;18;0
lizard031;19;0
lizard031;20;0
lizard031;21;0
lizard032;22;0
lizard033;23;0
lizard037;24;0
lizard037;25;0
lizard037;26;0
lizard038;27;0
lizard045;28;0
lizard045;29;0
lizard047;30;0
lizard048;31;0
lizard050;32;0
lizard052;33;0
lizard052;34;0
lizard055;35;0
lizard061;36;0
lizard061;37;0
lizard062;38;0
lizard062;39;0
lizard063;40;0
lizard069;41;0
lizard069;42;0
lizard069;43;0
lizard069;44;0
lizard069;45;0
lizard069;46;0
lizard069;47;0
lizard074;48;0
lizard075;49;0
lizard077;50;0
lizard077;51;0
lizard077;52;0
lizard078;53;0
lizard078;54;0
lizard081;55;0
lizard082;56;0
lizard082;57;0
lizard082;58;0
lizard084;59;0
lizard084;60;0
lizard084;61;0
lizard086;62;0
lizard086;63;0
lizard089;64;0
lizard089;65;0
lizard089;66;0
lizard091;67;0
lizard091;68;0
lizard099;69;0
lizard100;70;0
lizard102;71;0
lizard105;72;0
lizard105;73;0
lizard155;74;0
lizard155;75;0
lizard156;76;0
lizard162;77;0
lizard163;78;0
lizard165;79;0
lizard167;80;0
lizard167;81;0
lizard171;82;0
lizard173;83;0
lizard173;84;0
lizard173;85;0
lizard173;86;0
lizard174;87;0
lizard176;88;0
lizard177;89;0
lizard178;90;0
lizard179;91;0
lizard179;92;0
lizard180;93;0
lizard180;94;0
lizard180;95;0
lizard183;96;0
lizard188;97;0
lizard188;98;0
lizard189;99;0
lizard189;100;0
